ApplicationID,TestDate,QuantitativeScore,LogicalScore,VerbalScore,TotalScore
A00265,2024-09-23,17,21,33,71
A00266,2024-06-18,35,16,29,80
A00267,2024-06-24,29,37,31,97
A00268,2024-11-08,27,29,24,80
A00269,2024-10-27,22,34,20,76
A00270,2024-11-30,14,13,22,49
A00271,2024-10-06,14,12,16,42
A00272,2024-07-02,24,22,12,58
A00273,2024-11-02,27,30,40,97
A00274,2024-11-23,27,10,16,53
A00275,2024-09-09,11,19,35,65
A00276,2024-04-20,36,17,29,82
A00277,2024-10-22,39,22,18,79
A00278,2024-08-23,18,20,17,55
A00279,2024-05-11,16,24,24,64
A00280,2024-12-05,18,23,20,61
A00281,2024-02-21,39,29,11,79
A00282,2024-10-29,19,23,29,71
A00283,2024-08-31,36,23,11,70
A00284,2024-07-06,19,38,24,81
A00285,2024-10-16,40,28,40,108
A00286,2024-07-16,36,38,24,98
A00287,2024-06-01,30,34,37,101
A00288,2024-10-17,33,22,10,65
A00289,2024-12-01,10,32,15,57
A00290,2024-09-11,25,38,11,74
A00291,2024-04-05,32,28,27,87
A00292,2024-01-04,16,24,11,51
A00293,2024-02-21,25,31,38,94
A00294,2024-10-13,27,10,35,72
A00295,2024-12-05,37,22,13,72
A00296,2024-02-14,31,11,36,78
A00297,2024-08-21,40,39,25,104
A00298,2024-08-10,38,10,39,87
A00299,2023-12-27,36,34,21,91
A00300,2024-07-01,37,40,34,111
A00301,2023-12-29,10,35,30,75
A00302,2024-04-11,26,32,27,85
A00303,2024-07-03,10,18,29,57
A00304,2024-01-13,13,23,38,74
A00305,2024-06-04,28,18,23,69
A00306,2024-11-29,27,11,14,52
A00307,2024-05-20,19,28,20,67
A00308,2024-04-21,29,26,13,68
A00309,2024-11-28,32,26,36,94
A00310,2024-10-18,39,26,27,92
A00311,2024-01-24,24,39,15,78
A00312,2024-08-03,40,22,31,93
A00313,2024-02-29,10,21,11,42
A00314,2024-03-30,21,31,29,81
A00315,2024-09-21,33,10,34,77
A00316,2024-11-28,32,38,15,85
A00317,2024-05-30,14,30,27,71
A00318,2024-05-29,10,26,22,58
A00319,2024-03-16,28,31,32,91
A00320,2024-10-15,31,17,21,69
A00321,2024-11-02,31,24,21,76
A00322,2024-04-19,40,11,38,89
A00323,2024-09-19,15,18,33,66
A00324,2024-03-19,24,37,11,72
A00325,2024-09-05,35,16,27,78
A00326,2024-07-16,34,21,33,88
A00327,2024-07-18,35,28,10,73
A00328,2024-10-22,11,12,29,52
A00329,2024-05-27,19,31,31,81
A00330,2024-11-20,22,28,35,85
A00331,2024-11-15,15,19,38,72
A00332,2024-10-01,10,10,30,50
A00333,2024-09-19,18,38,30,86
A00334,2023-12-18,21,27,37,85
A00335,2024-12-06,37,16,15,68
A00336,2023-12-11,23,16,35,74
A00337,2023-12-17,19,31,19,69
A00338,2024-03-11,35,16,32,83
A00339,2024-02-19,21,11,13,45
A00340,2024-06-14,28,39,29,96
A00341,2024-07-21,34,17,36,87
A00342,2024-08-19,36,23,22,81
A00343,2024-11-30,20,29,11,60
A00344,2024-06-06,11,14,32,57
A00345,2024-07-03,10,24,13,47
A00346,2024-08-28,23,24,16,63
A00347,2024-10-26,22,39,33,94
A00348,2024-06-01,13,40,40,93
A00349,2024-06-23,31,31,14,76
A00350,2024-10-21,16,13,37,66
A00351,2024-07-22,38,38,35,111
A00352,2024-07-04,25,15,33,73
A00353,2024-10-15,15,23,21,59
A00354,2024-11-30,18,12,23,53
A00355,2023-12-28,13,11,40,64
A00356,2024-08-21,19,38,32,89
A00357,2024-08-05,35,14,16,65
A00358,2024-01-09,32,23,15,70
A00359,2024-09-27,31,16,18,65
A00360,2023-12-14,15,23,18,56
A00361,2024-05-24,23,35,18,76
A00362,2024-03-02,12,32,36,80
A00363,2024-07-01,33,31,33,97
A00364,2023-12-29,28,37,38,103
A00365,2024-01-23,19,34,24,77
A00366,2024-02-26,40,36,36,112
A00367,2024-09-21,28,29,19,76
A00368,2024-11-23,18,17,29,64
A00369,2024-04-19,36,20,33,89
A00370,2024-12-08,19,11,34,64
A00371,2024-11-18,39,26,13,78
A00372,2024-05-02,29,11,36,76
A00373,2024-07-05,34,25,35,94
A00374,2024-01-10,22,29,17,68
A00375,2024-11-11,14,34,34,82
A00376,2023-12-24,26,10,12,48
A00377,2024-11-18,24,12,30,66
A00378,2024-03-14,30,19,10,59
A00379,2024-04-19,22,17,32,71
A00380,2024-09-12,20,18,20,58
A00381,2024-05-31,39,21,26,86
A00382,2024-09-19,14,39,17,70
A00383,2024-06-24,14,37,11,62
A00384,2023-12-17,20,22,24,66
A00385,2024-02-04,25,14,27,66
A00386,2024-01-12,38,32,38,108
A00387,2024-06-09,18,24,26,68
A00388,2024-08-12,28,32,30,90
A00389,2024-04-15,30,19,36,85
A00390,2024-04-12,11,35,34,80
A00391,2024-07-18,10,30,10,50
A00392,2024-02-10,19,19,30,68
A00393,2024-02-05,31,16,28,75
A00394,2024-08-18,16,24,29,69
A00395,2024-12-01,28,25,24,77
A00396,2024-08-24,36,37,21,94
A00397,2024-09-20,29,38,34,101
A00398,2024-07-19,21,20,28,69
A00399,2024-10-29,34,38,22,94
A00400,2024-02-01,38,36,34,108
A00401,2024-01-26,37,39,36,112
A00402,2024-08-26,25,21,34,80
A00403,2024-10-31,10,10,21,41
A00404,2024-03-05,29,37,33,99
A00405,2024-02-05,32,28,22,82
A00406,2024-01-29,12,16,27,55
A00407,2024-08-09,18,37,25,80
A00408,2024-04-21,25,39,21,85
A00409,2024-02-28,17,14,27,58
A00410,2024-09-26,28,27,37,92
A00411,2024-06-01,13,15,16,44
A00412,2024-02-20,12,16,10,38
A00413,2024-10-28,23,27,14,64
A00414,2023-12-13,29,18,11,58
A00415,2024-06-10,22,29,21,72
A00416,2024-08-06,21,22,19,62
A00417,2024-03-30,15,14,17,46
A00418,2024-05-04,40,29,15,84
A00419,2024-08-12,40,14,13,67
A00420,2024-09-16,35,33,14,82
A00421,2024-02-04,12,14,10,36
A00422,2024-07-31,35,30,20,85
A00423,2024-02-01,40,10,24,74
A00424,2024-04-13,10,25,13,48
A00425,2024-02-06,27,36,11,74
A00426,2024-12-07,38,23,26,87
A00427,2023-12-25,33,24,11,68
A00428,2024-01-23,22,20,31,73
A00429,2023-12-17,40,26,12,78
A00430,2024-08-10,17,11,24,52
A00431,2024-04-10,32,32,12,76
A00432,2024-04-03,31,38,39,108
A00433,2024-06-02,17,17,10,44
A00434,2024-03-01,21,13,18,52
A00435,2024-09-05,14,35,17,66
A00436,2024-11-11,27,14,39,80
A00437,2024-03-06,40,16,22,78
A00438,2024-09-04,38,22,35,95
A00439,2023-12-24,14,35,10,59
A00440,2024-09-13,33,21,22,76
A00441,2023-12-24,30,31,27,88
A00442,2024-01-31,38,15,11,64
A00443,2024-11-14,20,38,24,82
A00444,2024-04-09,38,17,17,72
A00445,2024-08-01,15,21,21,57
A00446,2024-07-03,26,20,18,64
A00447,2024-07-08,35,37,22,94
A00448,2024-11-02,23,40,13,76
A00449,2024-05-02,28,10,34,72
A00450,2024-06-01,18,10,17,45
A00451,2024-07-02,33,23,20,76
A00452,2024-10-05,30,13,36,79
A00453,2024-10-24,19,14,10,43
A00454,2024-12-07,20,12,25,57
A00455,2024-09-24,16,20,32,68
A00456,2024-06-28,16,35,18,69
A00457,2024-09-29,25,35,33,93
A00458,2024-04-25,14,32,11,57
A00459,2024-02-05,10,13,25,48
A00460,2024-11-24,26,21,23,70
A00461,2024-01-01,38,17,34,89
A00462,2024-03-24,39,23,23,85
A00463,2024-08-14,20,18,13,51
A00464,2024-11-14,10,33,40,83
A00465,2024-11-28,12,20,13,45
A00466,2024-02-08,11,38,40,89
A00467,2024-04-06,37,23,35,95
A00468,2024-10-15,21,17,18,56
A00469,2024-07-24,14,22,16,52
A00470,2024-07-31,10,22,14,46
A00471,2024-01-21,37,38,19,94
A00472,2024-03-28,21,26,28,75
A00473,2024-06-25,18,37,15,70
A00474,2024-08-05,16,26,13,55
A00475,2024-08-24,36,12,29,77
A00476,2024-05-22,16,29,25,70
A00477,2024-05-05,15,12,30,57
A00478,2024-06-11,23,40,24,87
A00479,2024-04-19,17,24,21,62
A00480,2024-09-19,35,26,21,82
A00481,2024-08-24,33,32,25,90
A00482,2024-03-03,37,16,21,74
A00483,2024-01-26,36,31,34,101
A00484,2024-09-17,39,20,20,79
A00485,2024-04-23,35,14,10,59
A00486,2024-03-26,18,23,30,71
A00487,2024-03-05,36,18,22,76
A00488,2024-05-31,19,14,28,61
A00489,2024-08-13,16,29,40,85
A00490,2024-03-27,23,36,14,73
A00491,2023-12-29,36,40,17,93
A00492,2024-02-06,12,29,35,76
A00493,2023-12-21,10,13,31,54
A00494,2024-06-08,18,32,23,73
A00495,2024-10-01,12,13,19,44
A00496,2024-03-11,21,19,33,73
A00497,2024-10-02,18,20,40,78
A00498,2024-10-13,23,39,38,100
A00499,2023-12-11,12,26,31,69
A00500,2023-12-15,11,30,11,52
A00501,2024-09-12,25,19,33,77
A00502,2024-04-17,38,28,38,104
A00503,2024-09-21,11,37,38,86
A00504,2024-03-19,36,16,16,68
A00505,2024-11-26,12,29,29,70
A00506,2024-03-25,28,10,26,64
A00507,2024-10-11,17,38,31,86
A00508,2024-02-28,40,17,17,74
A00509,2024-10-05,22,26,29,77
A00510,2024-09-07,19,29,40,88
A00511,2024-07-31,24,24,34,82
A00512,2024-05-10,10,17,26,53
A00513,2024-08-02,26,26,12,64
A00514,2024-07-05,40,11,38,89
A00515,2024-03-23,19,26,39,84
A00516,2024-07-13,30,19,27,76
A00517,2024-03-19,14,17,11,42
A00518,2024-05-03,23,27,39,89
A00519,2024-11-13,36,22,10,68
A00520,2024-08-01,39,38,33,110
A00521,2023-12-27,13,26,39,78
A00522,2024-08-21,26,14,39,79
A00523,2024-03-29,26,23,12,61
A00524,2024-05-09,23,30,38,91
A00525,2024-11-19,15,20,15,50
A00526,2024-03-25,17,38,23,78
A00527,2024-04-09,13,39,31,83
A00528,2024-11-11,12,27,26,65
A00529,2023-12-27,35,35,18,88
A00530,2024-08-23,34,26,21,81
A00531,2023-12-27,12,26,18,56
A00532,2024-03-07,25,12,13,50
A00533,2024-08-16,22,39,12,73
A00534,2024-07-16,28,12,31,71
A00535,2024-02-09,11,14,11,36
A00536,2024-03-23,28,32,12,72
A00537,2023-12-20,19,40,11,70
A00538,2024-10-04,25,33,23,81
A00539,2024-08-14,11,27,23,61
A00540,2024-03-06,13,30,15,58
A00541,2024-08-02,18,11,12,41
A00542,2024-05-04,35,39,13,87
A00543,2024-11-04,36,17,29,82
A00544,2024-08-08,39,15,38,92
A00545,2024-06-10,18,25,16,59
A00546,2024-05-03,40,23,32,95
A00547,2024-06-24,24,15,11,50
A00548,2024-10-24,28,35,31,94
A00549,2024-08-18,33,10,12,55
A00550,2024-11-02,15,23,12,50
A00551,2024-02-09,23,19,22,64
A00552,2024-09-21,19,39,30,88
A00553,2024-03-25,23,39,15,77
A00554,2024-01-22,25,36,39,100
A00555,2024-08-15,37,10,18,65
A00556,2024-06-16,39,11,21,71
A00557,2024-02-16,19,11,34,64
A00558,2024-10-02,14,32,26,72
A00559,2024-10-19,32,10,10,52
A00560,2024-01-27,37,35,34,106
A00561,2024-09-04,10,12,37,59
A00562,2024-05-05,32,23,32,87
A00563,2024-04-25,40,32,29,101
A00564,2024-05-28,35,25,11,71
A00565,2024-02-18,19,24,25,68
A00566,2024-09-19,36,39,20,95
A00567,2024-11-17,11,18,24,53
A00568,2024-05-24,19,12,26,57
A00569,2024-01-29,19,19,28,66
A00570,2024-09-11,33,24,29,86
A00571,2023-12-13,23,34,12,69
A00572,2024-07-27,22,34,15,71
A00573,2024-01-28,35,17,32,84
A00574,2024-04-04,26,13,13,52
A00575,2024-04-11,30,11,17,58
A00576,2024-07-18,40,28,13,81
A00577,2024-10-30,16,33,31,80
A00578,2024-12-01,36,37,13,86
A00579,2024-06-13,18,10,23,51
A00580,2024-11-22,17,25,12,54
A00581,2024-08-17,27,15,24,66
A00582,2024-05-25,28,31,10,69
A00583,2024-05-26,13,29,40,82
A00584,2024-07-18,37,27,32,96
A00585,2024-01-10,40,29,17,86
A00586,2024-05-15,22,27,31,80
A00587,2024-03-02,21,14,27,62
A00588,2024-11-16,12,21,18,51
A00589,2024-02-12,13,31,28,72
A00590,2024-04-12,22,17,13,52
A00591,2024-09-02,15,35,20,70
A00592,2024-06-19,37,19,25,81
A00593,2023-12-19,19,24,37,80
A00594,2024-02-24,35,18,34,87
A00595,2024-10-25,15,25,32,72
A00596,2024-11-01,27,23,31,81
A00597,2024-02-03,38,13,32,83
A00598,2024-11-06,26,36,34,96
A00599,2024-03-25,35,24,32,91
A00600,2023-12-11,21,39,18,78
A00601,2024-11-30,19,10,26,55
A00602,2024-06-01,36,36,40,112
A00603,2024-02-13,25,20,29,74
A00604,2024-02-19,26,29,25,80
A00605,2024-03-13,12,14,18,44
A00606,2024-08-30,36,34,13,83
A00607,2024-10-21,25,22,17,64
A00608,2024-09-16,24,16,34,74
A00609,2024-11-30,27,31,28,86
A00610,2024-06-26,28,35,11,74
A00611,2023-12-27,20,25,26,71
A00612,2024-09-25,23,15,39,77
A00613,2023-12-14,24,13,23,60
A00614,2024-11-17,21,24,22,67
A00615,2024-09-01,16,20,31,67
A00616,2024-01-04,36,21,40,97
A00617,2024-01-12,40,39,29,108
A00618,2024-01-20,18,37,37,92
A00619,2023-12-10,11,19,22,52
A00620,2024-05-10,40,22,19,81
A00621,2024-08-21,39,16,24,79
A00622,2024-10-14,31,12,26,69
A00623,2024-03-28,26,17,20,63
A00624,2024-04-29,19,14,16,49
A00625,2024-07-06,34,26,28,88
A00626,2024-06-28,16,40,19,75
A00627,2024-01-30,10,28,25,63
A00628,2024-10-12,24,29,38,91
A00629,2024-04-29,13,17,22,52
A00630,2024-01-24,36,27,34,97
A00631,2024-06-17,37,23,32,92
A00632,2024-07-23,30,20,29,79
A00633,2024-07-29,32,31,26,89
A00634,2024-01-25,28,39,24,91
A00635,2024-01-24,20,37,28,85
A00636,2024-09-09,23,10,40,73
A00637,2024-09-21,18,28,16,62
A00638,2024-08-13,32,36,15,83
A00639,2024-04-16,26,31,14,71
A00640,2024-11-06,10,18,19,47
A00641,2024-04-17,32,21,16,69
A00642,2024-10-02,19,22,15,56
A00643,2024-09-11,18,36,13,67
A00644,2024-04-20,19,34,21,74
A00645,2024-04-28,23,17,28,68
A00646,2024-10-02,11,27,22,60
A00647,2024-03-01,37,31,13,81
A00648,2024-09-15,20,10,17,47
A00649,2024-01-20,31,40,23,94
A00650,2024-02-29,31,37,11,79
A00651,2024-11-01,10,14,16,40
A00652,2024-02-22,39,13,28,80
A00653,2024-07-26,22,27,21,70
A00654,2024-08-30,39,21,33,93
A00655,2024-08-20,12,20,31,63
A00656,2024-01-03,33,36,16,85
A00657,2024-10-19,35,28,39,102
A00658,2024-09-25,38,38,36,112
A00659,2024-01-22,37,37,14,88
A00660,2024-03-31,24,38,33,95
A00661,2024-05-20,27,16,34,77
A00662,2024-01-18,14,27,21,62
A00663,2024-04-03,15,13,12,40
A00664,2024-01-19,37,27,39,103
A00665,2024-10-13,30,22,25,77
A00666,2024-11-08,11,33,17,61
A00667,2023-12-27,18,27,11,56
A00668,2024-05-01,17,14,12,43
A00669,2024-06-19,40,36,26,102
A00670,2024-05-08,34,24,15,73
A00671,2024-07-06,28,18,18,64
A00672,2024-04-30,23,24,16,63
A00673,2024-04-21,11,21,15,47
A00674,2024-03-02,34,37,34,105
A00675,2024-10-27,21,39,21,81
A00676,2024-09-03,35,35,29,99
A00677,2023-12-19,15,22,11,48
A00678,2024-09-02,40,37,14,91
A00679,2024-08-18,32,19,25,76
A00680,2024-04-21,10,27,31,68
A00681,2024-01-23,23,30,22,75
A00682,2024-05-28,15,28,32,75
A00683,2024-04-17,16,24,21,61
A00684,2024-05-06,17,25,11,53
A00685,2024-03-27,17,25,32,74
A00686,2024-04-28,15,12,12,39
A00687,2024-03-27,28,16,27,71
A00688,2024-01-20,26,32,39,97
A00689,2024-09-26,10,32,14,56
A00690,2023-12-23,10,33,20,63
A00691,2024-02-11,21,15,16,52
A00692,2024-11-29,37,21,26,84
A00693,2024-11-26,16,13,21,50
A00694,2024-12-03,16,36,15,67
A00695,2024-11-30,17,19,39,75
A00696,2024-01-10,25,38,28,91
A00697,2024-05-12,30,27,38,95
A00698,2024-07-17,37,37,20,94
A00699,2024-11-22,36,30,33,99
A00700,2023-12-15,27,30,11,68
A00701,2024-04-27,20,30,13,63
A00702,2024-10-10,21,16,24,61
A00703,2024-04-17,24,25,29,78
A00704,2024-03-18,35,17,37,89
A00705,2023-12-13,31,16,27,74
A00706,2024-08-27,14,12,37,63
A00707,2024-09-11,37,22,32,91
A00708,2024-09-13,23,35,23,81
A00709,2024-01-10,14,23,13,50
A00710,2024-03-11,15,26,31,72
A00711,2024-02-27,12,36,10,58
A00712,2023-12-25,10,16,22,48
A00713,2024-09-02,27,20,18,65
A00714,2024-10-02,29,32,24,85
A00715,2024-11-01,21,24,22,67
A00716,2024-05-10,15,27,12,54
A00717,2024-05-12,18,18,19,55
A00718,2024-03-10,28,20,20,68
A00719,2024-06-23,17,39,32,88
A00720,2024-06-11,30,20,22,72
A00721,2024-06-08,27,35,39,101
A00722,2024-11-24,34,10,31,75
A00723,2024-04-05,15,34,33,82
A00724,2024-07-02,40,34,24,98
A00725,2024-03-12,37,31,20,88
A00726,2024-09-09,19,40,39,98
A00727,2024-04-08,35,17,16,68
A00728,2024-06-06,25,13,36,74
A00729,2024-11-17,39,18,17,74
A00730,2024-07-19,25,33,34,92
A00731,2024-03-30,20,27,10,57
A00732,2024-10-25,27,19,29,75
