ApplicationID,Channel,Date,MessageType,ResponseTime (hours)
A00166,Email,2024-02-28,Reminder,4
A00167,WhatsApp,2024-10-27,Thank You,48
A00168,Email,2024-09-22,Reminder,6
A00169,WhatsApp,2023-12-31,Thank You,4
A00170,WhatsApp,2024-05-16,Thank You,48
A00171,WhatsApp,2024-05-28,Reminder,48
A00172,WhatsApp,2024-06-15,Application Status,24
A00173,Phone Call,2024-09-26,Thank You,
A00174,Phone Call,2024-11-20,Thank You,12
A00175,WhatsApp,2024-01-22,Reminder,6
A00176,Email,2024-04-03,Follow-Up,12
A00177,Phone Call,2024-06-12,Application Status,2
A00178,WhatsApp,2024-05-05,Thank You,4
A00179,WhatsApp,2024-02-22,Reminder,6
A00180,Email,2024-07-30,Follow-Up,
A00181,WhatsApp,2024-11-09,Follow-Up,2
A00182,Phone Call,2024-06-24,Thank You,12
A00183,Phone Call,2024-10-06,Reminder,2
A00184,Email,2024-05-14,Follow-Up,4
A00185,Phone Call,2024-09-09,Follow-Up,4
A00186,WhatsApp,2024-03-12,Follow-Up,6
A00187,Phone Call,2024-06-03,Application Status,48
A00188,WhatsApp,2024-05-24,Thank You,
A00189,Phone Call,2024-02-17,Reminder,24
A00190,WhatsApp,2024-09-23,Reminder,2
A00191,Phone Call,2024-11-17,Follow-Up,6
A00192,WhatsApp,2024-10-25,Follow-Up,12
A00193,Email,2023-12-17,Follow-Up,2
A00194,Phone Call,2024-10-27,Follow-Up,4
A00195,Email,2023-12-31,Follow-Up,24
A00196,WhatsApp,2024-10-02,Reminder,4
A00197,Email,2024-07-23,Application Status,48
A00198,WhatsApp,2024-06-11,Follow-Up,4
A00199,Email,2024-08-06,Reminder,24
A00200,Phone Call,2024-10-01,Follow-Up,48
A00201,WhatsApp,2024-11-22,Reminder,
A00202,Phone Call,2024-08-05,Reminder,24
A00203,Phone Call,2024-05-22,Reminder,
A00204,Phone Call,2024-08-08,Follow-Up,24
A00205,Phone Call,2024-04-05,Application Status,24
A00206,WhatsApp,2024-03-04,Application Status,
A00207,WhatsApp,2024-07-26,Application Status,
A00208,WhatsApp,2024-04-04,Follow-Up,
A00209,Phone Call,2024-11-25,Follow-Up,
A00210,Email,2024-06-04,Follow-Up,24
A00211,Phone Call,2024-02-04,Reminder,2
A00212,Phone Call,2023-12-26,Thank You,24
A00213,WhatsApp,2024-07-29,Follow-Up,48
A00214,WhatsApp,2024-11-02,Application Status,4
A00215,WhatsApp,2024-11-06,Thank You,
A00216,Phone Call,2024-05-21,Application Status,6
A00217,WhatsApp,2024-05-12,Reminder,24
A00218,Phone Call,2024-10-11,Follow-Up,4
A00219,Phone Call,2024-03-16,Reminder,4
A00220,Email,2024-10-11,Reminder,4
A00221,Email,2024-11-19,Thank You,48
A00222,Phone Call,2024-02-16,Follow-Up,2
A00223,WhatsApp,2024-07-14,Follow-Up,48
A00224,WhatsApp,2024-10-19,Reminder,12
A00225,WhatsApp,2024-01-07,Application Status,
A00226,WhatsApp,2024-06-16,Thank You,24
A00227,WhatsApp,2024-06-14,Follow-Up,
A00228,Phone Call,2024-01-15,Thank You,4
A00229,Email,2024-02-21,Thank You,6
A00230,WhatsApp,2024-05-23,Follow-Up,48
A00231,Email,2024-08-28,Thank You,48
A00232,Phone Call,2024-07-10,Reminder,6
A00233,Phone Call,2024-06-20,Application Status,6
A00234,Email,2024-01-03,Application Status,2
A00235,Email,2024-11-26,Thank You,48
A00236,Phone Call,2024-06-11,Follow-Up,6
A00237,Email,2024-08-10,Reminder,4
A00238,Email,2024-05-28,Thank You,
A00239,Phone Call,2024-08-23,Follow-Up,4
A00240,WhatsApp,2024-06-10,Reminder,24
A00241,WhatsApp,2024-09-03,Thank You,12
A00242,Phone Call,2024-03-21,Thank You,24
A00243,Email,2024-04-08,Reminder,
A00244,WhatsApp,2024-02-10,Application Status,6
A00245,WhatsApp,2024-04-10,Application Status,24
A00246,Phone Call,2024-01-22,Reminder,
A00247,Email,2024-10-18,Follow-Up,24
A00248,Phone Call,2024-10-03,Thank You,6
A00249,WhatsApp,2023-12-14,Application Status,12
A00250,Phone Call,2024-11-05,Thank You,12
A00251,Phone Call,2024-09-12,Reminder,4
A00252,Email,2024-02-12,Thank You,6
A00253,Phone Call,2024-02-29,Thank You,4
A00254,WhatsApp,2024-02-16,Reminder,6
A00255,Phone Call,2024-10-13,Reminder,2
A00256,Phone Call,2024-11-01,Application Status,4
A00257,Phone Call,2024-05-15,Follow-Up,6
A00258,Email,2024-11-08,Application Status,12
A00259,Email,2024-10-10,Follow-Up,48
A00260,WhatsApp,2024-01-02,Thank You,48
A00261,Phone Call,2024-05-04,Application Status,
A00262,WhatsApp,2024-09-18,Thank You,6
A00263,Email,2024-10-21,Thank You,6
A00264,Email,2024-08-06,Thank You,24
A00265,WhatsApp,2024-05-09,Application Status,24
A00266,WhatsApp,2024-11-09,Reminder,48
A00267,Phone Call,2024-07-18,Application Status,48
A00268,Email,2024-06-25,Application Status,24
A00269,WhatsApp,2024-10-08,Thank You,
A00270,Phone Call,2024-09-08,Thank You,12
A00271,Phone Call,2024-07-10,Application Status,4
A00272,WhatsApp,2024-08-30,Application Status,6
A00273,Phone Call,2024-06-01,Application Status,4
A00274,WhatsApp,2024-07-06,Thank You,4
A00275,WhatsApp,2024-01-19,Follow-Up,12
A00276,Email,2024-11-09,Application Status,4
A00277,WhatsApp,2024-03-25,Reminder,2
A00278,Phone Call,2024-01-27,Application Status,2
A00279,Phone Call,2024-03-11,Thank You,12
A00280,Email,2024-10-07,Application Status,6
A00281,Phone Call,2024-04-09,Application Status,
A00282,WhatsApp,2024-03-25,Thank You,4
A00283,WhatsApp,2023-12-20,Thank You,
A00284,WhatsApp,2024-08-28,Application Status,4
A00285,Email,2024-11-20,Follow-Up,4
A00286,Phone Call,2024-06-26,Follow-Up,2
A00287,Phone Call,2024-07-06,Reminder,2
A00288,WhatsApp,2024-09-14,Thank You,4
A00289,Phone Call,2024-01-21,Thank You,4
A00290,Phone Call,2024-08-14,Reminder,48
A00291,Phone Call,2024-02-15,Follow-Up,48
A00292,WhatsApp,2024-08-22,Application Status,6
A00293,Email,2024-01-07,Thank You,2
A00294,WhatsApp,2023-12-19,Thank You,2
A00295,WhatsApp,2024-10-04,Thank You,4
A00296,Email,2024-04-12,Thank You,
A00297,Phone Call,2024-08-06,Reminder,4
A00298,Phone Call,2024-06-26,Reminder,12
A00299,Phone Call,2024-06-22,Reminder,2
A00300,Email,2024-08-18,Follow-Up,4
A00301,WhatsApp,2024-04-09,Application Status,12
A00302,Phone Call,2024-05-27,Application Status,48
A00303,WhatsApp,2024-05-22,Follow-Up,48
A00304,Phone Call,2024-06-20,Thank You,6
A00305,Phone Call,2024-06-12,Reminder,12
A00306,Email,2024-11-07,Thank You,2
A00307,WhatsApp,2024-03-02,Application Status,4
A00308,Email,2024-11-14,Application Status,
A00309,Email,2024-03-03,Reminder,6
A00310,Email,2024-04-26,Reminder,48
A00311,Email,2023-12-31,Follow-Up,
A00312,WhatsApp,2024-05-10,Follow-Up,2
A00313,Email,2024-08-20,Reminder,24
A00314,WhatsApp,2024-07-06,Application Status,4
A00315,Phone Call,2024-07-21,Thank You,
A00316,Phone Call,2024-08-11,Follow-Up,48
A00317,WhatsApp,2023-12-17,Follow-Up,12
A00318,Phone Call,2024-03-05,Thank You,24
A00319,WhatsApp,2024-07-22,Thank You,4
A00320,Phone Call,2024-01-30,Thank You,4
A00321,Phone Call,2024-02-15,Application Status,12
A00322,WhatsApp,2024-08-08,Follow-Up,2
A00323,Email,2024-05-09,Follow-Up,6
A00324,Email,2024-09-06,Reminder,
A00325,Phone Call,2024-06-18,Follow-Up,4
A00326,Email,2024-03-22,Application Status,48
A00327,WhatsApp,2024-03-10,Thank You,4
A00328,Email,2024-06-09,Reminder,4
A00329,WhatsApp,2024-04-11,Thank You,48
A00330,Phone Call,2024-10-20,Application Status,6
A00331,Email,2024-08-13,Thank You,4
A00332,Email,2024-10-04,Follow-Up,
A00333,WhatsApp,2023-12-22,Follow-Up,4
A00334,Phone Call,2024-12-04,Thank You,4
A00335,WhatsApp,2024-06-16,Application Status,
A00336,Email,2024-01-08,Reminder,2
A00337,Phone Call,2024-10-09,Follow-Up,2
A00338,Phone Call,2024-11-09,Follow-Up,12
A00339,Email,2023-12-20,Reminder,6
A00340,WhatsApp,2024-04-19,Reminder,6
A00341,WhatsApp,2024-12-03,Thank You,6
A00342,Email,2024-04-16,Thank You,6
A00343,Email,2024-01-07,Follow-Up,4
A00344,WhatsApp,2024-01-14,Reminder,24
A00345,Email,2024-07-21,Thank You,12
A00346,Email,2024-06-25,Thank You,24
A00347,Phone Call,2024-09-08,Application Status,12
A00348,Phone Call,2024-10-01,Reminder,2
A00349,WhatsApp,2024-07-03,Thank You,
A00350,WhatsApp,2024-05-21,Application Status,
A00351,Phone Call,2024-03-09,Follow-Up,12
A00352,Phone Call,2024-07-29,Thank You,6
A00353,Email,2024-02-13,Thank You,2
A00354,Phone Call,2024-09-29,Application Status,6
A00355,Email,2024-05-30,Follow-Up,
A00356,WhatsApp,2024-11-11,Thank You,2
A00357,Email,2024-06-08,Reminder,48
A00358,WhatsApp,2024-05-24,Follow-Up,
A00359,Phone Call,2024-11-13,Application Status,12
A00360,Phone Call,2024-02-17,Follow-Up,24
A00361,Email,2024-04-02,Reminder,2
A00362,WhatsApp,2024-08-28,Follow-Up,4
A00363,WhatsApp,2024-02-11,Application Status,12
A00364,Email,2024-09-12,Thank You,4
A00365,Phone Call,2024-08-20,Follow-Up,12
A00366,Email,2024-03-31,Application Status,24
A00367,Email,2023-12-24,Reminder,2
A00368,Email,2024-08-12,Thank You,6
A00369,Email,2024-03-12,Thank You,24
A00370,Phone Call,2023-12-10,Thank You,4
A00371,WhatsApp,2024-05-15,Follow-Up,6
A00372,WhatsApp,2024-02-25,Follow-Up,6
A00373,Email,2024-01-12,Thank You,24
A00374,Phone Call,2024-09-14,Follow-Up,6
A00375,WhatsApp,2024-11-08,Reminder,48
A00376,Email,2024-08-07,Thank You,6
A00377,WhatsApp,2024-10-11,Reminder,
A00378,Phone Call,2024-08-20,Follow-Up,48
A00379,WhatsApp,2024-05-05,Thank You,24
A00380,Email,2024-09-05,Application Status,24
A00381,Phone Call,2024-04-19,Thank You,24
A00382,WhatsApp,2024-03-08,Thank You,6
A00383,WhatsApp,2024-01-31,Reminder,48
A00384,Email,2024-06-22,Follow-Up,24
A00385,Phone Call,2024-05-29,Thank You,
A00386,Email,2024-11-09,Follow-Up,
A00387,WhatsApp,2024-11-04,Reminder,48
A00388,WhatsApp,2024-05-03,Application Status,6
A00389,Phone Call,2024-08-28,Reminder,24
A00390,WhatsApp,2024-10-20,Thank You,
A00391,Email,2024-03-28,Follow-Up,12
A00392,Phone Call,2024-03-16,Thank You,6
A00393,Phone Call,2024-03-24,Thank You,
A00394,Phone Call,2024-10-29,Thank You,
A00395,Phone Call,2024-01-09,Follow-Up,12
A00396,Phone Call,2024-02-15,Reminder,
A00397,WhatsApp,2024-01-17,Reminder,2
A00398,Phone Call,2024-02-12,Application Status,6
A00399,Phone Call,2024-09-13,Reminder,4
A00400,Phone Call,2024-05-05,Application Status,6
A00401,Email,2024-03-10,Reminder,24
A00402,Phone Call,2024-02-07,Application Status,2
A00403,Phone Call,2024-09-28,Application Status,12
A00404,Email,2024-08-03,Follow-Up,6
A00405,Email,2024-07-20,Reminder,6
A00406,Email,2024-10-14,Reminder,4
A00407,Phone Call,2024-03-28,Reminder,6
A00408,WhatsApp,2024-01-07,Reminder,6
A00409,Email,2024-04-30,Reminder,12
A00410,Email,2024-05-18,Reminder,48
A00411,Email,2024-07-18,Application Status,
A00412,WhatsApp,2024-04-08,Thank You,12
A00413,WhatsApp,2024-05-28,Application Status,24
A00414,Email,2024-05-06,Application Status,12
A00415,Email,2024-03-06,Reminder,4
A00416,Email,2024-07-22,Reminder,4
A00417,WhatsApp,2024-11-01,Application Status,6
A00418,Email,2024-04-24,Application Status,24
A00419,Phone Call,2024-11-19,Reminder,6
A00420,WhatsApp,2024-10-08,Application Status,24
A00421,Email,2024-06-16,Application Status,2
A00422,WhatsApp,2024-05-10,Thank You,6
A00423,WhatsApp,2024-04-08,Follow-Up,48
A00424,WhatsApp,2024-10-05,Reminder,6
A00425,Email,2024-04-07,Application Status,2
A00426,Phone Call,2024-07-11,Follow-Up,4
A00427,Phone Call,2024-01-21,Follow-Up,6
A00428,Email,2024-11-02,Thank You,12
A00429,Phone Call,2024-08-09,Reminder,
A00430,WhatsApp,2024-01-11,Application Status,12
A00431,WhatsApp,2024-09-20,Thank You,2
A00432,WhatsApp,2023-12-20,Thank You,24
A00433,Phone Call,2024-05-16,Reminder,6
A00434,WhatsApp,2024-08-23,Reminder,12
A00435,Phone Call,2024-11-12,Follow-Up,12
A00436,Email,2024-05-03,Follow-Up,6
A00437,WhatsApp,2024-02-25,Application Status,24
A00438,Email,2024-05-10,Application Status,6
A00439,Phone Call,2024-08-20,Reminder,
A00440,Email,2024-06-29,Follow-Up,2
A00441,Phone Call,2024-11-06,Follow-Up,6
A00442,Email,2024-01-01,Reminder,2
A00443,Email,2024-06-18,Follow-Up,2
A00444,WhatsApp,2024-04-14,Application Status,48
A00445,WhatsApp,2024-11-19,Reminder,12
A00446,WhatsApp,2024-10-18,Application Status,12
A00447,Email,2024-02-04,Follow-Up,12
A00448,WhatsApp,2024-10-11,Reminder,24
A00449,Email,2024-04-24,Thank You,24
A00450,Phone Call,2024-06-23,Follow-Up,12
A00451,Email,2024-06-17,Reminder,2
A00452,WhatsApp,2024-11-16,Follow-Up,48
A00453,Phone Call,2024-11-10,Reminder,12
A00454,Phone Call,2024-09-10,Reminder,4
A00455,WhatsApp,2024-02-05,Thank You,2
A00456,Phone Call,2024-02-02,Thank You,12
A00457,Email,2024-11-15,Application Status,24
A00458,WhatsApp,2024-02-25,Thank You,2
A00459,WhatsApp,2024-06-15,Thank You,6
A00460,Phone Call,2024-08-20,Follow-Up,24
A00461,Phone Call,2024-07-18,Application Status,12
A00462,WhatsApp,2024-11-30,Reminder,4
A00463,Phone Call,2024-11-09,Thank You,4
A00464,Phone Call,2023-12-16,Thank You,12
A00465,WhatsApp,2024-06-19,Reminder,12
A00466,WhatsApp,2024-10-18,Application Status,24
A00467,Phone Call,2024-09-21,Application Status,6
A00468,Phone Call,2024-11-05,Follow-Up,6
A00469,WhatsApp,2024-08-13,Follow-Up,24
A00470,Phone Call,2024-07-18,Thank You,24
A00471,Phone Call,2024-09-30,Thank You,6
A00472,WhatsApp,2024-10-28,Follow-Up,12
A00473,WhatsApp,2024-05-31,Application Status,24
A00474,Email,2024-05-09,Thank You,6
A00475,Email,2023-12-15,Reminder,
A00476,Email,2024-09-11,Follow-Up,4
A00477,Email,2024-01-23,Thank You,2
A00478,WhatsApp,2024-05-15,Follow-Up,
A00479,WhatsApp,2024-06-26,Application Status,24
A00480,WhatsApp,2024-05-18,Follow-Up,
A00481,WhatsApp,2024-09-28,Thank You,12
A00482,Phone Call,2024-08-30,Reminder,48
A00483,Email,2023-12-18,Reminder,24
A00484,WhatsApp,2024-01-19,Thank You,6
A00485,WhatsApp,2024-05-21,Application Status,2
A00486,Email,2024-10-19,Follow-Up,24
A00487,Phone Call,2024-08-05,Application Status,
A00488,Email,2024-08-08,Application Status,6
A00489,WhatsApp,2024-08-16,Follow-Up,2
A00490,Email,2024-11-24,Reminder,2
A00491,WhatsApp,2024-08-03,Reminder,12
A00492,WhatsApp,2024-08-09,Follow-Up,48
A00493,WhatsApp,2024-03-19,Reminder,2
A00494,WhatsApp,2024-12-02,Application Status,12
A00495,Email,2024-03-30,Thank You,48
A00496,WhatsApp,2023-12-29,Follow-Up,2
A00497,WhatsApp,2024-10-06,Application Status,6
A00498,WhatsApp,2024-01-22,Follow-Up,12
A00499,WhatsApp,2024-07-30,Application Status,24
A00500,WhatsApp,2023-12-14,Thank You,48
A00501,WhatsApp,2024-04-16,Application Status,4
A00502,WhatsApp,2024-05-06,Thank You,48
A00503,Phone Call,2024-09-13,Follow-Up,2
A00504,WhatsApp,2024-05-31,Thank You,48
A00505,Email,2024-07-25,Follow-Up,4
A00506,Email,2024-11-05,Thank You,4
A00507,Email,2024-06-23,Thank You,24
A00508,Phone Call,2024-07-28,Application Status,6
A00509,Email,2024-02-04,Reminder,24
A00510,Email,2024-08-06,Reminder,48
A00511,WhatsApp,2024-06-18,Reminder,2
A00512,Phone Call,2024-01-24,Reminder,2
A00513,WhatsApp,2024-10-10,Reminder,48
A00514,Phone Call,2024-01-06,Follow-Up,12
A00515,WhatsApp,2024-09-24,Application Status,24
A00516,WhatsApp,2024-06-19,Follow-Up,4
A00517,Email,2024-01-02,Application Status,24
A00518,Phone Call,2024-11-08,Application Status,12
A00519,WhatsApp,2024-04-19,Thank You,6
A00520,Email,2024-08-08,Follow-Up,12
A00521,Phone Call,2024-11-01,Follow-Up,48
A00522,Phone Call,2023-12-24,Thank You,6
A00523,WhatsApp,2024-08-29,Application Status,48
A00524,WhatsApp,2024-05-26,Thank You,12
A00525,Email,2024-07-05,Application Status,4
A00526,Email,2024-07-06,Thank You,6
A00527,Phone Call,2024-06-28,Reminder,12
A00528,Email,2024-11-05,Reminder,48
A00529,WhatsApp,2024-07-21,Application Status,48
A00530,Phone Call,2024-11-18,Follow-Up,12
A00531,Email,2024-11-18,Thank You,24
A00532,WhatsApp,2024-10-27,Reminder,4
A00533,Phone Call,2024-08-01,Follow-Up,
A00534,Phone Call,2024-06-23,Application Status,
A00535,Email,2024-09-16,Application Status,12
A00536,Email,2024-11-23,Application Status,48
A00537,WhatsApp,2024-03-22,Reminder,48
A00538,Phone Call,2024-09-04,Application Status,24
A00539,WhatsApp,2024-01-14,Application Status,2
A00540,Email,2024-09-14,Application Status,2
A00541,Phone Call,2024-02-18,Reminder,12
A00542,WhatsApp,2024-08-10,Application Status,
A00543,WhatsApp,2024-10-31,Application Status,2
A00544,WhatsApp,2024-07-25,Reminder,6
A00545,Email,2024-06-21,Thank You,24
A00546,Phone Call,2024-09-20,Thank You,12
A00547,Phone Call,2024-08-05,Application Status,24
A00548,WhatsApp,2024-05-04,Application Status,
A00549,WhatsApp,2024-09-03,Follow-Up,
A00550,Email,2023-12-21,Application Status,4
A00551,WhatsApp,2024-02-18,Thank You,48
A00552,Phone Call,2024-03-09,Thank You,4
A00553,Email,2024-02-12,Reminder,24
A00554,Phone Call,2024-11-02,Thank You,48
A00555,WhatsApp,2024-11-24,Reminder,
A00556,WhatsApp,2023-12-14,Thank You,4
A00557,WhatsApp,2024-08-13,Thank You,24
A00558,Phone Call,2024-08-04,Thank You,24
A00559,Phone Call,2024-03-09,Thank You,2
A00560,Phone Call,2024-10-31,Thank You,48
A00561,WhatsApp,2024-07-07,Follow-Up,12
A00562,Email,2024-05-21,Application Status,2
A00563,WhatsApp,2024-04-14,Application Status,4
A00564,Phone Call,2024-10-01,Thank You,24
A00565,Phone Call,2024-02-14,Follow-Up,4
A00566,WhatsApp,2024-02-02,Reminder,4
A00567,WhatsApp,2024-11-09,Follow-Up,4
A00568,Phone Call,2024-06-25,Application Status,4
A00569,Phone Call,2024-02-21,Application Status,
A00570,Phone Call,2023-12-20,Follow-Up,48
A00571,WhatsApp,2024-02-08,Reminder,4
A00572,Email,2024-11-15,Follow-Up,24
A00573,Email,2024-09-27,Thank You,24
A00574,WhatsApp,2024-11-10,Application Status,4
A00575,Phone Call,2024-07-08,Application Status,
A00576,Phone Call,2023-12-12,Thank You,6
A00577,Email,2024-03-11,Thank You,24
A00578,WhatsApp,2024-02-11,Follow-Up,48
A00579,Email,2024-10-03,Thank You,2
A00580,Phone Call,2024-11-29,Application Status,24
A00581,WhatsApp,2024-07-28,Reminder,6
A00582,Email,2024-05-13,Thank You,24
A00583,WhatsApp,2024-02-13,Application Status,2
A00584,Phone Call,2024-09-16,Reminder,6
